Country Name,Country Code,Region,%Essential Workers,%Indoor Essential Workers,%Vital Workers,%Indoor Vital Workers,"GDP per capita, PPP (current international $)",GDP Year (PPP),GDP Year (USD),GDP per capita (current US$),Food % of Essential Workers,Food % of Indoor Essential Workers,Food % of Vital Workers,Food % of Indoor Vital Workers
Guatemala,GTM,Central America,0.6623541729439154,0.3887859279153263,0.3299653890080631,0.1209380634705562,14393.0528302577,2024.0,2024.0,6150.89465281457,0.32252216675944534,0.05655841020884466,0.6293830192194794,0.13262841562002708
Guam,GUM,Micronesia,0.405693757638192,0.2244306543076279,0.2471362422023541,0.0913479580216712,,,2022.0,41833.1517132825,,,,
Guyana,GUY,South America,0.5577639780262367,0.3759909197014213,0.2909381357412789,0.1660312792898947,80271.4254322872,2024.0,2024.0,29675.2501582835,0.19898128838964285,0.026296552486815485,0.3664052459258246,0.033149953361352416
Hong Kong,HKG,Eastern Asia,0.3659435936873028,0.2219045890323851,0.2097418542527571,0.0924700033775039,75341.6985534061,2024.0,2024.0,54274.7547767073,,,,
Honduras,HND,Central America,0.5870499025968495,0.3412766969115658,0.3125388214822973,0.1220282246989049,7502.56902428309,2024.0,2024.0,3415.96027916712,0.3499884191879339,0.09051468786849333,0.6269615706982746,0.17520304648306062
Croatia,HRV,Southern Europe,0.3377727664946621,0.2712897610976842,0.1742639922384475,0.1318422396941887,49550.8073348367,2024.0,2024.0,24049.9441746337,0.1003752283367081,0.016103300671594066,0.1793843055309633,0.013082812154933026
Haiti,HTI,Caribbean,0.5870499025968495,0.3412766969115658,0.3125388214822973,0.1220282246989049,3168.87908307377,2024.0,2024.0,2060.35591768638,,,,
Hungary,HUN,Eastern Europe,0.3303021114906426,0.2631392030790794,0.1735938436396553,0.1297494804814861,48540.1614792293,2024.0,2024.0,23305.4482514359,0.12548668168407628,0.04044479973311852,0.18690151093275764,0.01263240596459706
Indonesia,IDN,South-eastern Asia,0.6027050774044155,0.2891964611330595,0.348163693965423,0.0909900841643485,16472.4825935409,2024.0,2024.0,4925.43644992666,0.4223613011772767,0.04808177893178353,0.7182882907046815,0.10361221559259914
Isle of Man,IMN,Northern Europe,0.2994040116934567,0.2518760477502855,0.132920873103946,0.1069607915053323,,,2023.0,90015.2074234398,,,,
India,IND,Southern Asia,0.6181000000000001,0.2095764757605755,0.4609882265921404,0.0873300745242641,10718.5934040662,2024.0,2024.0,2591.9916607122,0.5958470779274145,0.05939043084923323,0.7957915683253709,0.12600816160511857
Ireland,IRL,Northern Europe,0.3181151439585166,0.2515707125662396,0.1454117969825346,0.1021237392234287,140779.203379453,2024.0,2024.0,112894.953240805,0.1732201698972014,0.07955576900137974,0.2502602823220456,0.012736897304794667
Iran,IRN,Southern Asia,0.4882404132399553,0.304960889350601,0.2810681713750059,0.1415978805037398,19902.7484779621,2024.0,2024.0,5190.16959024821,0.24458585003545694,0.017674695034103412,0.419705022298439,0.027819041803156665
Iraq,IRQ,Western Asia,0.5089697818155906,0.3680207677487198,0.2792188938271112,0.1791849857434061,14485.3248937523,2024.0,2024.0,6073.61032342708,0.16362984646309056,0.00749355816637577,0.29077662584033165,0.0037138468487066807
