Country Name,Country Code,Region,occupational_group,Essential Workers,Vital Workers,Indoor Essential Workers,Indoor Vital Workers,% of Essential Workers,% of Vital Workers,% of Indoor Essential Workers,% of Indoor Vital Workers
Burundi,BDI,Eastern Africa,Health,19407.584912973438,11397.060723158704,17962.443716710965,10596.439176761633,0.0038099888426651406,0.00238955502848965,0.04303071060057395,0.06328592280962676
Burundi,BDI,Eastern Africa,Retail,183116.435798985,13478.646576470732,161743.75891764878,12441.827609049906,0.03594839751732149,0.0028259889533267294,0.3874722722142373,0.07430727705244562
Burundi,BDI,Eastern Africa,Security,8010.818994440475,6408.655195552381,6542.16884545972,5233.735076367776,0.0015726393122219783,0.0013436652326745061,0.015672376138173655,0.03125783562986217
Burundi,BDI,Eastern Africa,Transport,51947.30347864003,42502.3392097964,10756.764861738593,8800.989432331577,0.010198004931971488,0.008911216746873129,0.02576883430027253,0.05256282120548109
Burundi,BDI,Eastern Africa,Manual,76306.38420884761,29071.23137799459,44348.7225763744,17899.592773204135,0.014980043821191074,0.006095194963953843,0.10624150459626544,0.1069031046819014
Burundi,BDI,Eastern Africa,Cleaning,70265.0493372577,3771.8903977059385,50145.280398385,1807.364148900762,0.013794042649032097,0.000790830187333779,0.12012769992983131,0.010794258911716433
Burundi,BDI,Eastern Africa,Tech,21662.213716726623,3812.4367983648935,15531.82184159737,2955.689449783443,0.004252604996358165,0.000799331313890461,0.037207929016009646,0.017652489789064064
Burundi,BDI,Eastern Africa,ArmedForces,714.8968641368201,285.95874565472803,714.8968641368201,285.95874565472803,0.00014034456570620644,5.995529682766025e-05,0.0017126021690083352,0.0017078532516782176
Belgium,BEL,Western Europe,Food,105522.74786403851,74292.43574147596,51626.849466915424,32107.90439031383,0.0646434537335439,0.1039141041723019,0.043879417482454504,0.06809270710909436
Belgium,BEL,Western Europe,Health,475592.13459514227,253956.75033613198,417659.80769165227,226874.91465924008,0.2913487259481782,0.35521366268726684,0.3549832937043378,0.48114404872069
Belgium,BEL,Western Europe,Retail,256799.81855162352,19753.832196278734,237045.98635534482,18234.30664271883,0.15731610032287324,0.02763002392046083,0.20147345625829935,0.03867033134478358
Belgium,BEL,Western Europe,Security,52849.166468065174,42279.33317445214,43160.15261558656,34528.122092469246,0.0323755087560509,0.059136828507195156,0.036683283500369784,0.07322537391692346
Belgium,BEL,Western Europe,Transport,170462.37271750614,139469.21404159596,35297.76404756441,28879.98876618906,0.1044256023191519,0.19507798192510234,0.03000077170761339,0.0612471182318363
Belgium,BEL,Western Europe,Manual,252568.4527900729,122748.49870622858,150605.61962737405,82163.50742398217,0.15472395690002633,0.17169043058352276,0.1280048449028112,0.17424792281880946
Belgium,BEL,Western Europe,Cleaning,166317.30927000675,5527.733686162785,122755.3364181997,2648.7057246196678,0.10188632787250583,0.007731735921265277,0.10433394077911301,0.005617231848339441
Belgium,BEL,Western Europe,Tech,143530.81970650685,53417.74580931528,109672.14100217023,42599.47130100321,0.08792727720652166,0.07471631731115529,0.09321408745487739,0.09034265478803895
Belgium,BEL,Western Europe,ArmedForces,8738.21230226153,3495.284920904613,8738.21230226153,3495.284920904613,0.005353046941148041,0.004888914971729559,0.007426904210123641,0.007412611221484504
Benin,BEN,Western Africa,Food,2528964.0072989897,2476271.864183843,910447.9199715554,877515.3305245889,0.5524296125287749,0.8577599382943186,0.36503163334647537,0.7869303553435185
Benin,BEN,Western Africa,Health,56548.0286836682,33651.38403500845,51004.26547772949,30767.304006205366,0.012352412088438089,0.011656559003427859,0.020449462211473358,0.02759122790492013
Benin,BEN,Western Africa,Retail,1253068.9094569718,92394.99147976084,1108739.89775713,85287.68444285615,0.2737217177173251,0.03200485509554692,0.4445340880644045,0.07648352739879799
Benin,BEN,Western Africa,Security,22852.642489286354,18282.113991429087,18662.99136625052,14930.393093000419,0.004991955757052629,0.006332771936714003,0.007482670971192331,0.013389144478045116
Benin,BEN,Western Africa,Transport,193709.23535995846,158489.37438542055,40111.50833211261,32818.50681718305,0.042314053313648306,0.054899398551277415,0.01608216030953124,0.029430687229191232
Benin,BEN,Western Africa,Manual,329284.6583998426,90569.18710137642,230390.09874698607,61980.06643346655,0.07192929425902618,0.031372411673807894,0.09237175703042472,0.055581930031404755
