Region,occupational_group,% of Essential Workers,% of Vital Workers,% of Indoor Essential Workers,% of Indoor Vital Workers
Polynesia,Health,0.05031187965102313,0.042177114546718575,0.09929003547611359,0.12876092530349942
Polynesia,Retail,0.13170111475508803,0.015299998807466424,0.20359695241850836,0.03677170190999592
Polynesia,Security,0.08086666653112719,0.09770230874222126,0.16251547266837987,0.30526043064816116
Polynesia,Transport,0.07035376317429654,0.08693255722267113,0.11568107905894862,0.22222758441236726
Polynesia,Manual,0.14363476708884995,0.07428952901255996,0.24151079848482127,0.1875674832372308
Polynesia,Cleaning,0.026549585067957012,0.00305746484803328,0.04107282580387082,0.005970451518862916
Polynesia,Tech,0.038110564674525414,0.021026377799075846,0.07125273823999605,0.06338809617483838
Polynesia,ArmedForces,0.005108900488655611,0.0030862615851970495,0.010267214086412157,0.009642694760425874
South America,Food,0.21765317444843352,0.40857300280678516,0.05200156194406797,0.049856663285287886
South America,Health,0.10140508109814227,0.11619864429411517,0.14540125846970617,0.20807897947117526
South America,Retail,0.2445272763974946,0.037047462142034054,0.258560799883403,0.05233013767147256
South America,Security,0.034541517552361595,0.0578850009533576,0.0504987092313213,0.10629254642615246
South America,Transport,0.12393050593364993,0.21240399979664398,0.14824051341304417,0.31911651587994005
South America,Manual,0.13606323579520502,0.13073494981743047,0.1651451213031403,0.2021328350125309
South America,Cleaning,0.08057071028841634,0.0066104700553748855,0.0943154219906624,0.007586633882776039
South America,Tech,0.05604324619970283,0.026134690409075265,0.07813896574304763,0.046504465367509636
South America,ArmedForces,0.005265252286593655,0.004411779725183274,0.007697648021607084,0.0081012230031552
South-eastern Asia,Food,0.4381506426790248,0.7149435037427788,0.05558329021976673,0.1193006608344578
South-eastern Asia,Health,0.024245494287752422,0.022532393127035526,0.05019964945407695,0.08087796830758427
South-eastern Asia,Retail,0.2567370194775326,0.03152429712683117,0.40204888488318385,0.08933833410035874
South-eastern Asia,Security,0.018938494077349,0.02510929391739412,0.04002929700175676,0.09250608265708464
South-eastern Asia,Transport,0.06736737773058649,0.09134789373212561,0.11650162623346784,0.2753494112701914
South-eastern Asia,Manual,0.1237719002282474,0.09537625524940929,0.2122957066674626,0.2847248316481954
South-eastern Asia,Cleaning,0.03947230420816954,0.008501099794161316,0.060490458688274754,0.019574511006312134
South-eastern Asia,Tech,0.028694874404433877,0.008927166306603153,0.05730932997057078,0.031924812425620744
South-eastern Asia,ArmedForces,0.0026218929069038786,0.0017380970036609091,0.005541756881439749,0.006403387750194995
Southern Africa,Food,0.2152125091852851,0.4229712688120997,0.037810851367748206,0.09192436003372226
Southern Africa,Health,0.05442434223301109,0.06785482473120313,0.07501389675137124,0.11712157816767965
Southern Africa,Retail,0.08834903713538761,0.013097904411542802,0.09500012503970487,0.01810359250201134
Southern Africa,Security,0.047594491368993914,0.07500434028510532,0.0680015432404415,0.13476983497980335
Southern Africa,Transport,0.11921637345096968,0.19214339025683191,0.13936310364172025,0.2824760129522555
Southern Africa,Manual,0.1672591856508409,0.1804110687707957,0.19223747006250713,0.27174868242865746
Southern Africa,Cleaning,0.19006125793754222,0.0017032133026659464,0.22526526421462173,0.0019127374401198395
Southern Africa,Tech,0.11232869965265313,0.042437623086629433,0.15937221384501118,0.07407962763279416
Southern Africa,ArmedForces,0.005554103385316369,0.004376366343125923,0.00793553183687395,0.007863573862956457
Southern Asia,Food,0.5729716745962676,0.7790059588858894,0.050888295176060264,0.10751464644307736
Southern Asia,Health,0.019838823859566812,0.016134072163675777,0.05401962212514174,0.07708019992798314
Southern Asia,Retail,0.147652996262506,0.015010184478121013,0.3079627368130548,0.057029638754104876
Southern Asia,Security,0.01582743059927049,0.017282121213082847,0.044321984803665344,0.08536011469148769
Southern Asia,Transport,0.07155689237532449,0.07990941249943517,0.16394949313461052,0.32292800164567387
