Country Name,Country Code,Region,occupational_group,occupancy_group,occupancy_category,Essential Workers,Vital Workers,Indoor Essential Workers,Indoor Vital Workers,Scaled ECA (L/s/person),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s)
Chile,CHL,South America,ArmedForces,Correctional facilities,Dayroom,9907.210705516994,3962.884282206798,9907.210705516994,3962.884282206798,114.0,1129422.0204289374,451768.808171575
Côte d'Ivoire,CIV,Western Africa,Food,Industrial,Manufacturing,5088323.895039664,5088323.895039664,2528122.2237169514,2528122.2237169514,142.5,360257416.87966555,360257416.87966555
Côte d'Ivoire,CIV,Western Africa,Health,Health care,Patient room,146133.54096855485,89825.90229263925,130950.77789977778,81873.27693309796,199.5,26124680.191005666,16333718.748153044
Côte d'Ivoire,CIV,Western Africa,Retail,Commercial/Retail,Retail,2792418.6094361683,209746.0567649653,2516952.6811795835,193611.7447061218,114.0,286932605.65447253,22071738.896497887
Côte d'Ivoire,CIV,Western Africa,Security,Commercial/Retail,Office,82279.82251786382,65823.85801429107,67195.18838958879,53756.150711671035,85.5,5745188.607309842,4596150.885847873
Côte d'Ivoire,CIV,Western Africa,Transport,Commercial/Retail,Transportation waiting,471595.1810001505,385850.60263648676,97653.54758083925,79898.35711159576,171.0,16698756.636323512,13662619.066082874
Côte d'Ivoire,CIV,Western Africa,Manual,Industrial,Manufacturing,729787.7384367343,334228.9048721885,473447.5522140372,228129.9828492383,142.5,67466276.1905003,32508522.556016456
Côte d'Ivoire,CIV,Western Africa,Cleaning,Commercial/Retail,Office,279256.57903879834,31987.485031293054,178992.2876872431,15327.33657749459,85.5,15303840.597259285,1310487.2773757875
Côte d'Ivoire,CIV,Western Africa,Tech,Commercial/Retail,Office,208401.84196322132,35253.227798223736,148502.63645928467,27251.8971598928,85.5,12696975.417268839,2330037.2071708343
Côte d'Ivoire,CIV,Western Africa,ArmedForces,Correctional facilities,Dayroom,5617.613285231618,2247.0453140926475,5617.613285231618,2247.0453140926475,114.0,640407.9145164044,256163.16580656182
DR Congo,COD,Middle Africa,Food,Industrial,Manufacturing,25496224.898627784,25481096.050018962,7142914.863086965,7133459.332706452,142.5,1017865367.9898925,1016517954.9106694
DR Congo,COD,Middle Africa,Health,Health care,Patient room,450041.483150436,267100.21638212283,416321.7158085579,248293.6869894452,199.5,83056182.3038073,49534590.55439432
DR Congo,COD,Middle Africa,Retail,Commercial/Retail,Retail,2641702.2354459614,195036.77207246193,2340441.264869543,180033.94345150326,114.0,266810304.19512787,20523869.55347137
DR Congo,COD,Middle Africa,Security,Commercial/Retail,Office,157455.24880202796,125964.1990416224,128588.45318832283,102870.76255065826,85.5,10994312.747601602,8795450.198081281
DR Congo,COD,Middle Africa,Transport,Commercial/Retail,Transportation waiting,404917.2070390054,331295.8966682772,83846.49236666273,68601.67557272405,171.0,14337750.194699327,11730886.522935813
DR Congo,COD,Middle Africa,Manual,Industrial,Manufacturing,428842.0761869517,183907.38684615766,274272.40593541396,122465.31355339877,142.5,39083817.84579649,17451307.181359325
DR Congo,COD,Middle Africa,Cleaning,Commercial/Retail,Office,209100.96169409205,23938.602651459118,134040.75037282874,11470.580437157494,85.5,11460484.156876856,980734.6273769657
DR Congo,COD,Middle Africa,Tech,Commercial/Retail,Office,299992.21218593075,157813.72756772785,226460.23291680546,126316.75845127185,85.5,19362349.914386865,10800082.847583743
DR Congo,COD,Middle Africa,ArmedForces,Correctional facilities,Dayroom,5329.069959909527,2131.6279839638114,5329.069959909527,2131.6279839638114,114.0,607513.975429686,243005.5901718745
Colombia,COL,South America,Food,Industrial,Manufacturing,3507229.8024206404,3114038.5871264953,1348292.3708521524,1102547.8612933115,142.5,192131662.8464317,157113070.2342969
Colombia,COL,South America,Health,Health care,Patient room,867894.4030136267,420280.2350780806,727266.1865919187,359510.0717218092,199.5,145089604.2250878,71722259.30850095
Colombia,COL,South America,Retail,Commercial/Retail,Retail,2898937.1578866974,205190.83606645797,2462290.0327974954,189406.92559980732,114.0,280701063.7389145,21592389.518378034
Colombia,COL,South America,Security,Commercial/Retail,Office,589305.9287243969,471444.7429795175,481266.5084582574,385013.20676660596,85.5,41148286.47318101,32918629.17854481
Colombia,COL,South America,Transport,Commercial/Retail,Transportation waiting,1485848.1192535304,1215693.9157528887,307675.6206535089,251734.59871650726,171.0,52612531.13175002,43046616.38052274
Colombia,COL,South America,Manual,Industrial,Manufacturing,1650719.0642628232,802776.0417309513,1047435.5253001008,524394.6795220635,142.5,149259562.35526437,74726241.83189404
Colombia,COL,South America,Cleaning,Commercial/Retail,Office,1057370.5993365762,54256.55690677943,757592.9120675727,25997.933517831807,85.5,64774193.98177747,2222823.3157746196
