Country Name,Country Code,Labour Force (2024),Region,%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential),%Onsite Excluded Essential (ISCO 61+63),%Onsite Excluded Vital (ISCO 61+63),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s),Scaled ECA Essential (L/s/person),Scaled ECA Vital (L/s/person)
Jamaica,JAM,1570000.0,Caribbean,0.28742389213767955,0.11657492549155905,0.3649725925069614,0.1576080900279289,,,0.020182339384560346,0.020182339384560346,451255.51065615687,183022.63302174772,573006.9702359294,247444.70134384834,,,11960760.07838247,5380422.986322427,124.8236710361275,136.79725625288907
Jordan,JOR,3080000.0,Western Asia,0.4133961575186846,0.15872492659756698,0.4829000000000001,0.19254772975450687,0.0017665865350607122,0.0017665865350607122,0.016762370306865542,0.016762370306865542,1273260.1651575486,488872.7739205063,1487332.0000000002,593047.0076438811,5441.086527986994,5441.086527986994,142118092.76946667,59494232.91858637,111.61748137457947,121.69676057325397
Japan,JPN,69400000.0,Eastern Asia,0.2757226534142469,0.10200356536445929,0.34400636861334916,0.1407600926412736,0.0017392425894518831,0.0017392425894518831,0.025519472176887267,0.025519472176887267,19135152.146948736,7079047.436293474,23874041.981766433,9768750.429304387,120703.43570796069,120703.43570796069,2684928630.352699,1125612611.8544688,140.31394209639632,159.00622534093787
Kazakhstan,KAZ,10300000.0,Central Asia,0.21276882930107244,0.09519467910589327,0.5597999999999999,0.4162491378224959,,,0.2985218758642044,0.2985218758642044,2191518.941801046,980505.1947907007,5765939.999999998,4287366.119571708,,,53027941.15675678,25710344.11865726,136.19014176436087,147.5856476728351
Kenya,KEN,23800000.0,Eastern Africa,0.19542167352283368,0.09721771021708549,0.6295506945430813,0.513054845896546,0.0015477869390763705,0.0015477869390763705,0.2370048588287431,0.2370048588287431,4651035.829843442,2313781.5031666346,14983306.530125335,12210705.332337797,36837.32915001762,36837.32915001762,576863280.3033109,327008716.8071763,124.02899083293637,141.3308544301323
Kyrgyzstan,KGZ,3200000.0,Central Asia,0.3278985221395367,0.14031541620249263,0.5375,0.3090055883941508,0.0017667790343035212,0.0017667790343035212,0.14437365624817614,0.14437365624817614,1049275.2708465173,449009.3318479764,1720000.0,988817.8828612827,5653.692909771268,5653.692909771268,140900562.4504798,66193901.24088838,134.2836969147346,147.42210583565335
Cambodia,KHM,9900000.0,South-eastern Asia,0.24581099100131146,0.07650920308983633,0.5805000000000001,0.370011199927399,0.002251265824536358,0.002251265824536358,0.22616377877390673,0.22616377877390673,2433528.8109129835,757441.1105893797,5746950.000000001,3663110.8792812503,22287.531662909947,22287.531662909947,310952453.7793317,105852075.13683473,127.77841477975849,139.7495774350948
Kiribati,KIR,40794.0,Micronesia,0.35403857804867095,0.14211241391406426,0.6014999999999999,0.35599930981447075,0.001759545701375655,0.001759545701375655,0.04630069074856127,0.04630069074856127,14442.649752917483,5797.333813210337,24537.590999999997,14522.63584457152,71.77890734191847,71.77890734191847,1854561.704317654,756234.8778621082,128.40868788243125,130.4452878215986
St. Kitts and Nevis,KNA,21848.0,Caribbean,0.20333117807563958,0.09814828736738873,0.8699712549514417,0.7402612516759507,,,0.32632825879291116,0.32632825879291116,4442.379578596573,2144.343782402709,19007.1319781791,16173.22782661617,,,410578521.9509702,219519863.29748237,122.37939611824093,135.5523819732171
South Korea,KOR,29700000.0,Eastern Asia,0.2648420487037012,0.10067158992092394,0.42913754286257433,0.23180828228754893,,,0.08649080467153793,0.08649080467153793,7865808.8464999255,2989946.2206514413,12745385.023018457,6884705.983940204,,,4964662181.202246,2200967272.008915,137.5950856654377,154.7037740491033
Kuwait,KWT,3000000.0,Western Asia,0.2762814377295813,0.11590249371245086,0.33941192536463644,0.1476512192107522,,,0.011248434381214466,0.011248434381214466,828844.3131887439,347707.4811373526,1018235.7760939093,442953.65763225657,,,252209110.45363247,117574847.18525082,128.75462189941322,143.07883904964112
Laos,LAO,3580000.0,South-eastern Asia,0.10728671779114812,0.02905522720446788,0.5696,0.4694176965167524,0.008644754235581099,0.008644754235581099,0.4279712504591252,0.4279712504591252,384086.4496923103,104017.71339199501,2039168.0,1680515.3535299737,30948.220163380334,30948.220163380334,46234641.16289033,13941651.267442329,120.37561127170372,134.03151071878156
Lebanon,LBN,1940000.0,Western Asia,0.2817048426349473,0.11566876130704905,0.3520833768831538,0.1545801840686107,0.017840541040505926,0.017840541040505926,0.016892439654016964,0.016892439654016964,546507.3947117977,224397.39693567515,683041.7511533183,299885.55709310476,34610.6496185815,34610.6496185815,71467211.60322179,32559992.540027596,130.77080437477014,145.09968914372527
Liberia,LBR,2610000.0,Western Africa,0.37545664432691167,0.11779846100389539,0.8181537154802424,0.4940213867667875,0.0019319479291855048,0.0019319479291855048,0.20745885608713466,0.20745885608713466,979941.8416932394,307453.983220167,2135381.197403433,1289395.8194613154,5042.384095174168,5042.384095174168,117811877.72293769,40143764.46667019,120.2233364373653,130.56836683726863
Libya,LBY,2580000.0,Northern Africa,0.3017975911141075,0.13540893619171088,0.48424983462953336,0.27431366899654924,,,0.07330557315789184,0.07330557315789184,778637.7850743973,349355.0553746141,1249364.573344196,707729.266011097,,,533057002.4320655,248612655.75488058,130.8921317650096,140.88667459483827
St. Lucia,LCA,102000.0,Caribbean,0.20333117807563958,0.09814828736738873,0.8699712549514417,0.7402612516759507,,,0.32632825879291116,0.32632825879291116,20739.780163715237,10011.12531147365,88737.06800504705,75506.64767094697,,,410578521.9509702,219519863.29748237,122.37939611824093,135.5523819732171
Liechtenstein,LIE,20786.0,Western Europe,0.23493180766447405,0.08507259655923881,0.28719999999999996,0.11261298200911858,,,0.01185372304139258,0.01185372304139258,4883.292554113757,1768.318992080338,5969.739199999999,2340.773444041539,,,23898823.468628336,9720518.93327241,131.77025931985688,148.00707017000258
Sri Lanka,LKA,8500000.0,Southern Asia,0.23302758364130496,0.10493464849665488,0.47241586703130073,0.30794915179419685,0.0028460779377485687,0.0028460779377485687,0.10222543648113536,0.10222543648113536,1980734.4609510922,891944.5122215664,4015534.869766056,2617567.7902506734,24191.662470862833,24191.662470862833,263320283.53194055,128744070.69700836,132.94072917048237,144.34089669585552
Lesotho,LSO,884000.0,Southern Africa,0.18723054501998956,0.073416237231109,0.5701,0.411564805720985,0.0016720630285104673,0.0016720630285104673,0.2575303653666315,0.2575303653666315,165511.80179767078,64899.95371230036,503968.4,363823.28825735074,1478.1037172032532,1478.1037172032532,20725496.294063646,9169503.088339567,125.22065537900097,141.2867431152218
Lithuania,LTU,1550000.0,Northern Europe,0.24321055072007322,0.1080082981320006,0.3142890256024868,0.15316525472603718,0.0014882576986797384,0.0014882576986797384,0.022651912073647713,0.022651912073647713,376976.3536161135,167412.8621046009,487147.9896838545,237406.14482535762,2306.7994329535945,2306.7994329535945,53883197.65019235,26052589.488633767,142.93521896883553,155.61880467915242
Luxembourg,LUX,350000.0,Western Europe,0.1635573869937804,0.0700502812302023,0.19749035053233244,0.09131758205542934,0.0017193102067857213,0.0017193102067857213,0.013244378510054307,0.013244378510054307,57245.085447823134,24517.598430570804,69121.62268631635,31961.153719400267,601.7585723750025,601.7585723750025,8327739.813422137,3891800.807935783,145.47519229423767,158.7349927015334
Latvia,LVA,955000.0,Northern Europe,0.25044284469529815,0.1173487321094404,0.32274510184239324,0.16684285456628484,0.004021520707021105,0.004021520707021105,0.020464667270258037,0.020464667270258037,239172.91668400975,112068.03916451558,308221.57225948555,159334.92611080201,3840.5522752051547,3840.5522752051547,34488389.56804994,17366578.32054575,144.19855745462718,154.96459516929409
Macau,MAC,382000.0,Eastern Asia,0.2219045890323851,0.09247000337750395,0.3659435936873028,0.20974185425275715,,,0.07414138840955777,0.07414138840955777,84767.5530103711,35323.54129020651,139790.45278854965,80121.38832455323,,,3669953399.229613,1661221984.32465,135.05814173269474,147.62087216815937
Saint-Martin,MAF,,Caribbean,0.20333117807563958,0.09814828736738873,0.8699712549514417,0.7402612516759507,,,0.32632825879291116,0.32632825879291116,,,,,,,410578521.9509702,219519863.29748237,122.37939611824093,135.5523819732171
Morocco,MAR,12500000.0,Northern Africa,0.3017975911141075,0.13540893619171088,0.48424983462953336,0.27431366899654924,,,0.07330557315789184,0.07330557315789184,3772469.8889263435,1692611.702396386,6053122.932869167,3428920.8624568656,,,533057002.4320655,248612655.75488058,130.8921317650096,140.88667459483827
Monaco,MCO,78364.0,Western Europe,0.23493180766447405,0.08507259655923881,0.28719999999999996,0.11261298200911858,,,0.01185372304139258,0.01185372304139258,18410.196175818844,6666.62895676819,22506.140799999997,8824.80372216257,,,23898823.468628336,9720518.93327241,131.77025931985688,148.00707017000258
Moldova,MDA,1360000.0,Eastern Europe,0.22240370126954057,0.10051807050933946,0.4918184629548534,0.3449047251618937,,,0.20938271384291005,0.20938271384291005,302469.03372657514,136704.57589270166,668873.1096186006,469070.4262201754,,,311751153.033192,173316082.37085658,135.39736168712736,148.1338842091668
Madagascar,MDG,16500000.0,Eastern Africa,0.20333117807563958,0.09814828736738873,0.8699712549514417,0.7402612516759507,0.0007194904678203184,0.0007194904678203184,0.32632825879291116,0.32632825879291116,3354964.438248053,1619446.741561914,14354525.706698788,12214310.652653186,11871.592719035254,11871.592719035254,410578521.9509702,219519863.29748237,122.37939611824093,135.5523819732171
Maldives,MDV,270000.0,Southern Asia,0.1827570852930888,0.07438677232421854,0.388231802169931,0.25928933761713996,0.005116049894971604,0.005116049894971604,0.14710762229536933,0.14710762229536933,49344.413029133975,20084.428527539007,104822.58658588136,70008.12115662779,1381.333471642333,1381.333471642333,6341793.217438381,2760070.0972204246,128.52099818664482,137.42338217071605
Mexico,MEX,61000000.0,Central America,0.41439792276984455,0.1452798404576487,0.601332853443646,0.26237465747610333,0.00047951288633836536,0.00047951288633836536,0.0586954483070046,0.0586954483070046,25278273.288960516,8862070.26791657,36681304.0600624,16004854.106042303,29250.28606664029,29250.28606664029,3305824845.7717595,1293803536.0884783,130.77732042779493,145.99337366714937
Marshall Islands,MHL,13860.0,Micronesia,0.24905615476595203,0.1095873240268811,0.3827685485198029,0.21848857651498793,0.0017482402697916986,0.0017482402697916986,0.08775828934701184,0.08775828934701184,3451.918305056095,1518.880311012572,5305.172082484469,3028.251670497733,24.230610139312944,24.230610139312944,445502.40594732645,202404.917322641,129.05937121825565,133.2592936093209
North Macedonia,MKD,779000.0,Southern Europe,0.3266851715281711,0.145053979643503,0.4574000000000003,0.23805890199267918,0.005162084076188401,0.005162084076188401,0.04989714598097696,0.04989714598097696,254487.7486204453,112997.05014228883,356314.6000000002,185447.88465229707,4021.2634953507645,4021.2634953507645,34129277.686904006,16476276.876809096,134.10970811725,145.8115663732968
Mali,MLI,9130000.0,Western Africa,0.16249072018244032,0.03651304419336895,0.777200549801882,0.6193148529009779,0.0007125403938117872,0.0007125403938117872,0.5729117568127673,0.5729117568127673,1483540.2752656802,333364.09348545846,7095841.019691183,5654344.606985928,6505.493795501618,6505.493795501618,178075311.04024526,45955183.13996449,120.0340253710703,137.8528282979855
Malta,MLT,318000.0,Southern Europe,0.2633829202708553,0.10818034854799423,0.3289132847026537,0.14693585078837357,,,0.018244435713255232,0.018244435713255232,83755.76864613198,34401.350838262166,104594.42453544388,46725.600550702795,,,14357623.758274779,6224406.995394324,137.68719656577343,150.7528943477794
