Country Name,Country Code,Labour Force (2024),Region,%ECW ILO,%ECW Poll,%Critical Workers,%Vital Workers,%Armed Forces (ECW ILO),%Armed Forces (Critical),ECW ILO,ECW Poll,Critical Workers,Vital Workers,Armed Forces (ECW ILO),Armed Forces (Critical)
DR Congo,COD,38500000.0,Middle Africa,0.19740055653147293,0.1331199201406746,0.7693945290181995,0.684377008354475,0.00013624679457154064,0.00013624679457154064,7599921.426461708,5125116.925415972,29621689.36720068,26348514.821647286,5245.501591004315,5245.501591004315
Congo Republic,COG,2560000.0,Middle Africa,0.08084520213547523,0.032449494779228455,0.46669493588410405,0.3901573878270969,,,206963.7174668166,83070.70663482485,1194739.0358633064,998802.9128373681,,
Colombia,COL,26800000.0,South America,0.23159596505608268,0.07778712611388444,0.4725546037572512,0.23846438486332278,0.0003842152925309264,0.0003842152925309264,6206771.863503016,2084694.979852103,12664463.380694333,6390845.514337051,10296.969839828827,10296.969839828827
Comoros,COM,276000.0,Eastern Africa,0.20250461367974626,0.09476883438757859,0.5179662791698879,0.3490714788460209,,,55891.27337560997,26156.19829097169,142958.69305088907,96343.72816150177,,
Cabo Verde,CPV,224000.0,Western Africa,0.233439165247752,0.08675201474451537,0.4820077634204467,0.2567095628395511,,,52290.37301549644,19432.451302771442,107969.73900618007,57502.942076059444,,
Costa Rica,CRI,2360000.0,Central America,0.2227352609694259,0.07610415064542457,0.4363672122218532,0.21214916105081885,0.0,0.0,525655.2158878451,179605.795523202,1029826.6208435736,500672.02007993247,0.0,0.0
Cuba,CUB,4860000.0,Caribbean,0.19358543949811483,0.05809263984798944,0.3592090075563047,0.15473126526384515,,,940825.235960838,282330.22966122866,1745755.7767236407,751993.9491822874,,
Curacao,CUW,71999.0,Caribbean,0.2064262068979088,0.08738290113748153,0.4208660792951542,0.23980418521330676,,,14862.480470442535,6291.481498997532,30301.936843171807,17265.661531172875,,
Cayman Islands,CYM,60828.0,Caribbean,0.2064262068979088,0.08738290113748153,0.4208660792951542,0.23980418521330676,,,12556.493313185996,5315.327110390726,25600.441871365638,14586.808978155024,,
Cyprus,CYP,772000.0,Western Asia,0.18869289336722966,0.05917547567553361,0.3172035822338537,0.12288107335826012,0.006390178444920446,0.006390178444920446,145670.9136795013,45683.46722151195,244881.16548453504,94864.18863257681,4933.217759478584,4933.217759478584
Czechia,CZE,5540000.0,Eastern Europe,0.18112473119121408,0.08166255217842279,0.3335509529434407,0.1771003442264095,0.0007216975185571741,0.0007216975185571741,1003431.010799326,452410.53906846227,1847872.2793066616,981135.9070143086,3998.2042528067445,3998.2042528067445
Germany,DEU,43800000.0,Western Europe,0.18813693068021642,0.08278939645026999,0.30162425109648,0.14842882747103767,0.0016255104595590821,0.0016255104595590821,8240397.563793479,3626175.5645218254,13211142.198025825,6501182.64323145,71197.3581286878,71197.3581286878
Djibouti,DJI,265000.0,Eastern Africa,0.17514228191559797,0.07090672304804518,0.4288968792794462,0.21780780983426298,,,46412.704707633464,18790.281607731973,113657.67300905324,57719.06960607969,,
Dominica,DMA,32630.0,Caribbean,0.1788193580665751,0.11797794981775041,0.7571440188840576,0.6647373316068305,,,5834.875653712345,3849.620502553196,24705.609336186797,21690.37913033088,,
Denmark,DNK,3210000.0,Northern Europe,0.20508814339129314,0.07820010083244817,0.32802497352954324,0.14344995031721403,0.0015834221205196992,0.0015834221205196992,658332.940286051,251022.32367215864,1052960.1650298338,460474.340518257,5082.785006868235,5082.785006868235
Dominican Republic,DOM,5410000.0,Caribbean,0.19358543949811483,0.05809263984798944,0.3592090075563047,0.15473126526384515,0.0027222353845053606,0.0027222353845053606,1047297.2276848012,314281.18157762283,1943320.7308796083,837096.1450774022,14727.293430174,14727.293430174
Algeria,DZA,13300000.0,Northern Africa,0.22014597492927301,0.10137870349721445,0.46507412784650753,0.27251183378451704,,,2927941.466559331,1348336.7565129523,6185485.90035855,3624407.3893340765,,
Ecuador,ECU,8820000.0,South America,0.2545232797355807,0.10696139471359066,0.6165362287961816,0.3926277308411505,0.0014475211109973266,0.0014475211109973266,2244895.327267822,943399.5013738696,5437849.537982322,3462976.5860189474,12767.13619899642,12767.13619899642
Egypt,EGY,33700000.0,Northern Africa,0.235382219863608,0.10171246234552214,0.4957770370165395,0.2850844044041341,0.0,0.0,7932380.809403589,3427709.9810440964,16707686.147457382,9607344.428419318,0.0,0.0
Eritrea,ERI,1710000.0,Eastern Africa,0.19405852930827736,0.07245321336830514,0.494145592226368,0.27837826284844974,,,331840.0851171543,123894.9948598018,844988.9627070893,476026.8294708491,,
Spain,ESP,24400000.0,Southern Europe,0.218132468913886,0.07624306977049422,0.37278180988325776,0.16411194703534604,0.002099007062814893,0.002099007062814893,5322432.241498819,1860330.902400059,9095876.16115149,4004331.5076624434,51215.77233268339,51215.77233268339
Estonia,EST,756000.0,Northern Europe,0.15992540978829942,0.06634077626850572,0.2975607349132358,0.14687889332301315,0.0017257118204116852,0.0017257118204116852,120903.60979995436,50153.62685899033,224955.91559440628,111040.44335219795,1304.638136231234,1304.638136231234
Ethiopia,ETH,54500000.0,Eastern Africa,0.16261293145512887,0.06313655322154206,0.7573645602442277,0.5990853794748883,0.0007550391439340811,0.0007550391439340811,8862404.764304522,3440942.1505740425,41276368.53331041,32650153.18138141,41149.63334440742,41149.63334440742
Finland,FIN,2900000.0,Northern Europe,0.1980867668869457,0.08193242578992191,0.3352987145952879,0.1623787845655676,0.0011166660749988104,0.0011166660749988104,574451.6239721426,237604.03479077353,972366.2723263348,470898.47524014604,3238.3316174965503,3238.3316174965503
Fiji,FJI,388000.0,Melanesia,0.1867008070799935,0.09044003271832919,0.48417517552657974,0.334704458665755,0.0,0.0,72439.91314703749,35090.732694711725,187859.96810431292,129865.32996231294,0.0,0.0
France,FRA,31700000.0,Western Europe,0.18438664763995033,0.08006203176168063,0.31390008987154067,0.15570685547768087,0.0027165249848164915,0.0027165249848164915,5845056.730186425,2537966.406845276,9950632.848927839,4935907.318642484,86113.84201868279,86113.84201868279
Faroe Islands,FRO,32200.0,Northern Europe,0.19295344806437884,0.07551162008521906,0.31986844028451716,0.15116346167516256,,,6213.1010276729985,2431.4741667440535,10299.763777161452,4867.4634659402345,,
"Micronesia, Fed. Sts.",FSM,14500.0,Micronesia,0.20886371279024651,0.08150779329936464,0.43256440138331814,0.23754469867880626,,,3028.5238354585745,1181.8630028407872,6272.183820058113,3444.398130842691,,
Gabon,GAB,824000.0,Middle Africa,0.14173974790614277,0.04305256470575869,0.6003773717657258,0.46098476484532247,,,116793.55227466165,35475.31331754516,494710.95433495805,379851.4462325457,,
United Kingdom,GBR,35400000.0,Northern Europe,0.18244938301326194,0.0696737152468,0.2963924653102963,0.13229389437403988,0.0010241260675180547,0.0010241260675180547,6458708.158669473,2466449.51973672,10492293.271984488,4683203.860841012,36254.062790139134,36254.062790139134
