Country Name,Country Code,Labour Force (2024),Region,%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential),%Onsite Excluded Essential (ISCO 61+63),%Onsite Excluded Vital (ISCO 61+63),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential)
Guatemala,GTM,7580000.0,Central America,0.315570325039069,0.10930695372569396,0.6617000000000001,0.3619095866388528,0.00044999323188213343,0.00044999323188213343,0.09198783619592277,0.09198783619592277,2392023.063796143,828546.7092407602,5015686.000000001,2743274.6667225044,3410.9486976665717,3410.9486976665717
Guam,GUM,77700.0,Micronesia,0.18509452836175005,0.07732177917660073,0.4029,0.24536708913435396,,,0.11958713391383118,0.11958713391383118,14381.844853707978,6007.902242021876,31305.329999999998,19065.022825739303,,
Guyana,GUY,292000.0,South America,0.2863767703780965,0.11000131525824734,0.5454,0.283113082890927,0.0028431085520965486,0.0028431085520965486,0.06214438485545348,0.06214438485545348,83622.01695040418,32120.384055408224,159256.8,82669.02020415069,830.1876972121922,830.1876972121922
Hong Kong,HKG,3840000.0,Eastern Asia,0.13778467531199545,0.06352437261242377,0.27967625449371897,0.17273043322597,,,0.07628112510242449,0.07628112510242449,529093.1531980626,243933.5908317073,1073956.817255881,663284.8635877249,,
Honduras,HND,4300000.0,Central America,0.30855692872834417,0.11262930945409752,0.5832999999999998,0.3064404038499918,0.0011682747767080492,0.0011682747767080492,0.07887936081594266,0.07887936081594266,1326794.79353188,484306.0306526193,2508189.999999999,1317693.736554965,5023.581539844611,5023.581539844611
Croatia,HRV,1730000.0,Southern Europe,0.21074072901239765,0.09161099143209757,0.3466148689695366,0.17739062282570534,0.0029006479908333,0.0029006479908333,0.021020489870204277,0.021020489870204277,364581.4611914479,158487.01517752878,599643.7233172983,306885.77748847025,5018.121024141609,5018.121024141609
Haiti,HTI,5280000.0,Caribbean,0.30855692872834417,0.11262930945409752,0.5832999999999998,0.3064404038499918,,,0.07887936081594266,0.07887936081594266,1629180.5836856572,594682.753917635,3079823.999999999,1618005.3323279568,,
Hungary,HUN,4950000.0,Eastern Europe,0.20011764774690563,0.09079964638035602,0.33821084768948306,0.17702831548505843,0.002002675186845944,0.002002675186845944,0.020642553260142495,0.020642553260142495,990582.3563471829,449458.2495827623,1674143.696062941,876290.1616510393,9913.242174887422,9913.242174887422
Indonesia,IDN,143000000.0,South-eastern Asia,0.308813721896527,0.12333787557703675,0.6027050774044155,0.34816369396542307,0.0015511620867556734,0.0015511620867556734,0.18392574440161363,0.18392574440161363,44160362.23120336,17637316.207516257,86186826.06883141,49787408.2370555,221816.17840606128,221816.17840606128
Isle of Man,IMN,36555.0,Northern Europe,0.1957991801914791,0.07727867008007114,0.2991000000000001,0.13338723389959312,,,0.008422004848085298,0.008422004848085298,7157.439031899518,2824.9217847770005,10933.600500000004,4875.970335199627,,
India,IND,608000000.0,Southern Asia,0.2601575220365954,0.15835319904916287,0.6181000000000001,0.4675104883889619,0.0,0.0,0.30952741695196523,0.30952741695196523,158175773.39825,96278745.02189103,375804800.00000006,284246376.9404889,0.0,0.0
Ireland,IRL,2860000.0,Northern Europe,0.21153088019904712,0.08447497971317088,0.3252046468477114,0.15190874393257456,0.0012339592445958386,0.0012339592445958386,0.03312950927173898,0.03312950927173898,604978.3173692748,241598.4419796687,930085.2899844545,434459.00764716323,3529.1234395440983,3529.1234395440983
