Country Code,GDP Year (PPP),"GDP per capita, PPP (current international $)",GDP Year (USD),GDP per capita (current US$)
TGO,2024,3814.83532681353,2024,1266.08777721447
THA,2024,24909.2266037939,2024,7386.63615126055
TJK,2024,5413.83109811464,2024,1362.02559981695
TKM,2024,21025.8403822415,2024,5904.25772576512
TLA,2024,22938.8544443974,2024,10441.4685782421
TLS,2024,4429.20182282365,2024,1331.9705130185
TMN,2024,11299.4554855773,2024,2962.60094580465
TON,2024,8174.34840883872,2024,6215.38990974121
TSA,2024,10594.5335959681,2024,2601.82209529365
TSS,2024,5525.75233957231,2024,1542.65844261619
TTO,2024,36381.2720794439,2024,18733.4110406494
TUN,2024,14542.0966234293,2024,4187.64079392362
TUR,2024,45122.9317187258,2024,15892.7157287241
TUV,2024,6365.76616505123,2024,5883.50257114002
TZA,2024,4226.92626953125,2024,1192.60668945313
UGA,2024,3278.02086557843,2024,1077.91278438613
UKR,2024,18636.13671875,2024,5391.62255859375
URY,2024,36596.7847357669,2024,24308.4954958447
USA,2024,86169.6641581914,2024,86169.6641581917
UZB,2024,12518.4323028403,2024,3337.45492058664
VCT,2024,21302.9730252553,2024,11501.2265187188
VEN,,,2024,4244.45723136019
VIR,2022,49785.1412220186,2022,44320.909185774
VNM,2024,16387.9087954113,2024,4716.6599379632
VUT,2024,4367.82503750089,2024,3959.87703462363
WLD,2024,24544.4750035019,2024,13717.0909956338
WSM,2024,8750.62541028446,2024,5392.87761915762
XKX,2024,17890.3600994298,2024,7026.6988128325
YEM,,,2018,633.887202451545
ZAF,2024,15478.6456794969,2024,6267.186814093
ZMB,2024,4221.01397093025,2024,1187.10943350064
ZWE,2024,5932.87021993648,2024,2496.15514995576
