Context,Job Zone,Code,Occupation
39,1-2,47-4031.00,Fence Erectors
39,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
39,1-2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
39,5,19-2043.00,Hydrologists
39,3,51-4062.00,"Patternmakers, Metal and Plastic"
39,1-2,47-5051.00,"Rock Splitters, Quarry"
39,1-2,51-6093.00,Upholsterers
39,4,11-9121.02,Water Resource Specialists
38,5,19-3091.00,Anthropologists and Archeologists
38,1-2,47-2051.00,Cement Masons and Concrete Finishers
38,3,17-3022.00,Civil Engineering Technologists and Technicians
38,4,17-2161.00,Nuclear Engineers
38,3,51-8011.00,Nuclear Power Reactor Operators
37,1-2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
37,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
37,4,13-1041.00,Compliance Officers
37,1-2,43-5021.00,Couriers and Messengers
37,1-2,53-7031.00,Dredge Operators
37,4,17-1012.00,Landscape Architects
37,4,17-2131.00,Materials Engineers
37,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
37,4,25-4013.00,Museum Technicians and Conservators
37,1-2,53-6061.00,Passenger Attendants
37,1-2,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
37,1-2,53-5011.00,Sailors and Marine Oilers
36,4,13-2022.00,Appraisers of Personal and Business Property
36,5,17-1011.00,"Architects, Except Landscape and Naval"
36,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
36,4,17-2071.00,Electrical Engineers
36,3,39-1022.00,First-Line Supervisors of Personal Service Workers
36,5,17-2199.06,Microsystems Engineers
36,1-2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
36,3,17-3029.08,Photonics Technicians
36,3,15-1241.01,Telecommunications Engineering Specialists
35,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
35,4,27-1021.00,Commercial and Industrial Designers
35,1-2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
35,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
35,1-2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
35,4,13-1081.02,Logistics Analysts
35,4,11-9199.08,Loss Prevention Managers
35,4,27-3023.00,"News Analysts, Reporters, and Journalists"
35,1-2,39-7012.00,Travel Guides
34,1-2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
34,5,19-1029.04,Biologists
34,4,27-2022.00,Coaches and Scouts
34,3,53-2012.00,Commercial Pilots
34,1-2,35-2015.00,"Cooks, Short Order"
34,5,25-4012.00,Curators
34,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
34,1-2,51-3092.00,Food Batchmakers
34,1-2,53-5022.00,Motorboat Operators
34,3,41-4011.07,Solar Sales Representatives and Assessors
34,4,17-2051.02,Water/Wastewater Engineers
33,1-2,33-3012.00,Correctional Officers and Jailers
33,5,25-1032.00,"Engineering Teachers, Postsecondary"
33,1-2,39-4021.00,Funeral Attendants
33,4,13-1081.00,Logisticians
33,4,19-2032.00,Materials Scientists
33,1-2,47-2161.00,Plasterers and Stucco Masons
33,1-2,43-5061.00,"Production, Planning, and Expediting Clerks"
33,4,17-2072.01,Radio Frequency Identification Device Specialists
33,3,17-3031.00,Surveying and Mapping Technicians
33,4,17-2051.01,Transportation Engineers
33,4,11-9199.10,Wind Energy Development Managers
32,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
32,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
32,3,51-4061.00,"Model Makers, Metal and Plastic"
32,3,51-8012.00,Power Distributors and Dispatchers
32,4,41-9021.00,Real Estate Brokers
32,3,41-9022.00,Real Estate Sales Agents
32,4,29-1125.00,Recreational Therapists
32,5,27-1027.00,Set and Exhibit Designers
32,1-2,53-7065.00,Stockers and Order Fillers
32,1-2,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
31,3,27-2032.00,Choreographers
31,1-2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
31,1-2,11-9131.00,Postmasters and Mail Superintendents
31,3,33-9021.00,Private Detectives and Investigators
31,1-2,53-7081.00,Refuse and Recyclable Material Collectors
31,4,25-2058.00,"Special Education Teachers, Secondary School"
31,3,53-6041.00,Traffic Technicians
30,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
30,5,11-9041.00,Architectural and Engineering Managers
30,5,11-1011.00,Chief Executives
30,1-2,47-5023.00,"Earth Drillers, Except Oil and Gas"
30,1-2,27-1023.00,Floral Designers
30,4,21-1091.00,Health Education Specialists
30,3,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
30,5,29-1229.05,Preventive Medicine Physicians
30,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
30,4,21-1015.00,Rehabilitation Counselors
30,4,17-2112.02,Validation Engineers
30,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
29,5,11-1011.03,Chief Sustainability Officers
29,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
29,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
29,4,19-3092.00,Geographers
29,5,19-3093.00,Historians
29,4,13-2072.00,Loan Officers
29,4,17-2141.00,Mechanical Engineers
29,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
29,5,29-1229.06,Sports Medicine Physicians
29,1-2,47-2022.00,Stonemasons
29,1-2,37-3013.00,Tree Trimmers and Pruners
28,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
28,1-2,39-3092.00,Costume Attendants
28,4,17-2072.00,"Electronics Engineers, Except Computer"
28,1-2,51-9194.00,Etchers and Engravers
28,1-2,35-3023.00,Fast Food and Counter Workers
28,4,11-1021.00,General and Operations Managers
28,5,21-1022.00,Healthcare Social Workers
28,4,27-1025.00,Interior Designers
28,4,17-2171.00,Petroleum Engineers
28,1-2,43-3061.00,Procurement Clerks
28,1-2,51-6031.00,Sewing Machine Operators
28,3,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
28,1-2,51-2092.00,Team Assemblers
27,5,25-1031.00,"Architecture Teachers, Postsecondary"
27,5,19-2041.03,Industrial Ecologists
27,4,41-3021.00,Insurance Sales Agents
27,1-2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
27,1-2,47-2141.00,"Painters, Construction and Maintenance"
27,1-2,43-5051.00,Postal Service Clerks
27,4,11-3051.01,Quality Control Systems Managers
27,3,27-4014.00,Sound Engineering Technicians
27,1-2,53-4041.00,Subway and Streetcar Operators
27,3,39-7011.00,Tour Guides and Escorts
26,3,27-4012.00,Broadcast Technicians
26,4,15-1231.00,Computer Network Support Specialists
26,1-2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
26,1-2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
26,5,21-1013.00,Marriage and Family Therapists
26,5,21-1023.00,Mental Health and Substance Abuse Social Workers
26,1-2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
26,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
26,4,13-1199.05,Sustainability Specialists
25,5,25-4011.00,Archivists
25,3,33-3011.00,Bailiffs
25,1-2,49-3091.00,Bicycle Repairers
25,3,15-1299.08,Computer Systems Engineers/Architects
25,1-2,51-9031.00,"Cutters and Trimmers, Hand"
25,5,19-1041.00,Epidemiologists
25,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
25,1-2,37-3011.00,Landscaping and Groundskeeping Workers
25,4,19-1022.00,Microbiologists
25,4,13-1199.06,Online Merchants
25,1-2,53-6021.00,Parking Attendants
25,4,27-3043.00,Writers and Authors
24,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
24,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
24,4,21-1021.00,"Child, Family, and School Social Workers"
24,5,21-2011.00,Clergy
24,3,17-3012.00,Electrical and Electronics Drafters
24,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
24,1-2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
24,1-2,43-5011.01,Freight Forwarders
24,5,25-1064.00,"Geography Teachers, Postsecondary"
24,3,49-9063.00,Musical Instrument Repairers and Tuners
24,1-2,51-3023.00,Slaughterers and Meat Packers
24,4,25-2056.00,"Special Education Teachers, Elementary School"
24,1-2,51-2061.00,Timing Device Assemblers and Adjusters
23,1-2,27-2011.00,Actors
23,3,11-3012.00,Administrative Services Managers
23,4,41-3011.00,Advertising Sales Agents
