Context,Job Zone,Code,Occupation
83,4,19-1031.03,Park Naturalists
83,3,29-2099.08,Patient Representatives
83,5,29-1221.00,"Pediatricians, General"
83,4,27-3031.00,Public Relations Specialists
83,4,39-9032.00,Recreation Workers
83,2,51-6041.00,Shoe and Leather Workers and Repairers
83,2,53-7065.00,Stockers and Order Fillers
83,5,19-3022.00,Survey Researchers
83,2,43-2011.00,"Switchboard Operators, Including Answering Service"
83,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
83,4,19-1023.00,Zoologists and Wildlife Biologists
82,3,11-3012.00,Administrative Services Managers
82,4,15-2099.01,Bioinformatics Technicians
82,2,47-2041.00,Carpet Installers
82,4,11-9121.01,Clinical Research Coordinators
82,4,15-1251.00,Computer Programmers
82,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
82,5,19-3093.00,Historians
82,5,25-4022.00,Librarians and Media Collections Specialists
82,1,37-2012.00,Maids and Housekeeping Cleaners
82,4,13-1111.00,Management Analysts
82,3,17-3027.00,Mechanical Engineering Technologists and Technicians
82,4,27-2012.03,Media Programming Directors
82,5,29-1299.01,Naturopathic Physicians
82,4,17-2171.00,Petroleum Engineers
82,2,51-5113.00,Print Binding and Finishing Workers
82,4,13-1161.01,Search Marketing Strategists
82,3,13-2082.00,Tax Preparers
82,2,43-2021.00,Telephone Operators
82,3,53-6041.00,Traffic Technicians
82,5,29-1229.03,Urologists
81,3,33-3011.00,Bailiffs
81,2,51-8013.03,Biomass Plant Technicians
81,4,15-2051.01,Business Intelligence Analysts
81,5,29-1213.00,Dermatologists
81,5,19-3011.00,Economists
81,4,11-9161.00,Emergency Management Directors
81,4,13-1041.03,Equal Opportunity Representatives and Officers
81,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
81,5,13-2099.01,Financial Quantitative Analysts
81,1,47-2043.00,Floor Sanders and Finishers
81,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
81,3,13-1041.04,Government Property Inspectors and Investigators
81,3,11-3051.06,Hydroelectric Production Managers
81,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
81,3,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
81,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
81,4,17-2161.00,Nuclear Engineers
81,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
81,2,41-2022.00,Parts Salespersons
81,3,51-8012.00,Power Distributors and Dispatchers
81,2,43-5061.00,"Production, Planning, and Expediting Clerks"
81,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
81,4,11-9199.01,Regulatory Affairs Managers
81,4,21-1093.00,Social and Human Service Assistants
81,5,19-1013.00,Soil and Plant Scientists
81,4,11-3071.04,Supply Chain Managers
81,2,35-3031.00,Waiters and Waitresses
81,4,11-9199.10,Wind Energy Development Managers
80,3,27-4031.00,"Camera Operators, Television, Video, and Film"
80,4,21-1021.00,"Child, Family, and School Social Workers"
80,2,39-9011.00,Childcare Workers
80,2,43-4031.00,"Court, Municipal, and License Clerks"
80,1,35-9021.00,Dishwashers
80,5,25-1063.00,"Economics Teachers, Postsecondary"
80,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
80,2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
80,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
80,3,51-4061.00,"Model Makers, Metal and Plastic"
80,4,19-4061.00,Social Science Research Assistants
80,5,29-1127.00,Speech-Language Pathologists
79,4,13-2023.00,Appraisers and Assessors of Real Estate
79,5,15-2041.01,Biostatisticians
79,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
79,3,13-1041.08,Customs Brokers
79,4,15-1243.00,Database Architects
79,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
79,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
79,4,13-1075.00,Labor Relations Specialists
79,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
79,2,39-5092.00,Manicurists and Pedicurists
79,4,25-4013.00,Museum Technicians and Conservators
79,3,43-4141.00,New Accounts Clerks
79,3,29-2081.00,"Opticians, Dispensing"
79,2,41-2031.00,Retail Salespersons
79,3,17-3024.01,Robotics Technicians
79,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
79,2,51-3023.00,Slaughterers and Meat Packers
79,4,17-2199.11,Solar Energy Systems Engineers
79,4,27-3042.00,Technical Writers
79,4,13-1151.00,Training and Development Specialists
79,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
78,5,19-2011.00,Astronomers
78,3,49-2091.00,Avionics Technicians
78,3,43-3021.00,Billing and Posting Clerks
78,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
78,2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
78,3,51-9162.00,Computer Numerically Controlled Tool Programmers
78,4,11-9021.00,Construction Managers
78,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
78,2,43-9021.00,Data Entry Keyers
78,2,41-9011.00,Demonstrators and Product Promoters
78,3,33-2021.00,Fire Inspectors and Investigators
78,2,27-1023.00,Floral Designers
78,4,27-3091.00,Interpreters and Translators
78,4,11-9081.00,Lodging Managers
78,2,51-9111.00,Packaging and Filling Machine Operators and Tenders
78,2,31-2022.00,Physical Therapist Aides
78,2,43-5052.00,Postal Service Mail Carriers
78,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
78,4,15-1253.00,Software Quality Assurance Analysts and Testers
78,2,43-9022.00,Word Processors and Typists
77,2,53-1041.00,Aircraft Cargo Handling Supervisors
77,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
77,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
77,4,13-1199.04,Business Continuity Planners
77,4,41-3021.00,Insurance Sales Agents
77,4,13-1081.00,Logisticians
77,3,51-4041.00,Machinists
77,3,31-9097.00,Phlebotomists
77,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
77,4,17-2199.10,Wind Energy Engineers
76,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
76,4,13-1041.01,Environmental Compliance Inspectors
76,2,33-1012.00,First-Line Supervisors of Police and Detectives
76,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
76,2,41-2012.00,Gambling Change Persons and Booth Cashiers
76,2,49-9031.00,Home Appliance Repairers
76,4,13-1161.00,Market Research Analysts and Marketing Specialists
76,2,43-6013.00,Medical Secretaries and Administrative Assistants
76,2,51-2061.00,Timing Device Assemblers and Adjusters
75,3,35-2013.00,"Cooks, Private Household"
75,3,19-4071.00,Forest and Conservation Technicians
75,4,17-1022.01,Geodetic Surveyors
75,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
75,5,19-2043.00,Hydrologists
75,4,27-2042.00,Musicians and Singers
75,2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
74,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
74,5,19-1011.00,Animal Scientists
74,2,35-3011.00,Bartenders
74,3,31-9091.00,Dental Assistants
74,3,43-4061.00,"Eligibility Interviewers, Government Programs"
74,3,51-6092.00,Fabric and Apparel Patternmakers
74,1,35-3023.00,Fast Food and Counter Workers
74,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
74,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
74,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
74,3,31-1131.00,Nursing Assistants
74,2,51-8013.00,Power Plant Operators
74,3,29-2053.00,Psychiatric Technicians
74,3,41-9022.00,Real Estate Sales Agents
74,5,25-9044.00,"Teaching Assistants, Postsecondary"
74,3,15-1241.01,Telecommunications Engineering Specialists
73,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
73,2,45-2011.00,Agricultural Inspectors
73,3,53-2022.00,Airfield Operations Specialists
73,1,35-3023.01,Baristas
